id,str_quote,bln_inactive,,
38,"Me ayudo a poder realizar un concepto de lo que soy de lo que quiero y de lo que tuve, y lo que sere.",,,
\,,,,
,,,,
\,,,,
"This helped to realize a concept of who I am, what I want, what I had and what I will become.",0,,,
39,I always think that I'm not very creative but these art projects somehow bring out a lot of creativity in me.,0,,
40,A mi me ayudo a pensar que si quiere uno todo lo puede lograr solo es que tenga ganas de salir de la violencia y al salir puede uno respirar ese olor tan bonito como el el del mar y respirar el amor y el carino de mi familia que ahora se que ellos pase lo que pase siempre estaran conmigo.,,,
\,,,,
,,,,
\,,,,
"It helped me to think that if I want it, I can make anything happen and do what it takes for me to get out of the violence.  I can breathe the fresh ocean air, and breathe in the love of my family since now I know that no matter what happens, they will be there for me.",0,,,
41,"Me ayudo a sentirme que puedo tener mas ideas metas, y a expresarlas, que tomando tiempo para uno mismo y pensar en uno nos dara el valor para asimilar todo lo bueno y a seguir adelante con nuestra meta fijada.",,,
\,,,,
,,,,
\,,,,
"It helped me to feel that I can have ideas and goals, and express them; that I can take time for me, and think about myself.  It gives me courage to assimilate the good and move forward with my goals.",0,,,
42,I liked this workshop because it let me show kids things that I was too embarrassed to tell them.,0,,
43,So you mean I'm not the only one that goes through this?,0,,
44,It is rewarding to watch the children create!  They made their dolls and even gave some of them families.,0,,
45,I'm very very excited about this class.  It brings me so much peace spiritually.,0,,
46,It helped me really acknowledge that I do have goals and dreams and now I can work towards them.,0,,
47,This is a lot of fun to do!  Make a map of me! ó,0,,
48,"This map shows me that I'm full of sadness, hate and love.",0,,
49,"They discussed how relaxed they felt during the workshop. A week after the workshop, a client told me that she was really stressed and the night before she had written in her journal.  She said she felt so relaxed and it gave her a new perspective on her problems by getting them out on paper.",0,,
50,"This helped me to learn how I felt and to express my feelings freely without being afraid of anybody's reaction, as opposed to being afraid... like before.  It was hard, but good for me.",0,,
51,I enjoyed the relaxation techniques a lot and also like visiting my safe placeù ...  how calm and peaceful it is.,0,,
52,This class brings more feelings each time.  It feels good to learn about my feelings and identify them. Just to feel is a blessing.,0,,
53,This workshop was so useful to me ó it brought out feelings I haven't felt in two years.  I am progressing in my life and my feelings.,0,,
54,My safe place is inside of me and I can open the door or close it.,0,,
55,My safe place was at my Grandma and Grandpa's house.  No one would hurt me there.,0,,
56,A four-year-old girl got a huge smile on her face while visualizing her safe place.,0,,
57,My safe place is in the library.  I feel that when I am in the library I can feel the peace and it is quiet.,0,,
58,It's amazing how a simple project that only involves paper and markers can become such an emotional outlet to the children.  I love this workshop.,0,,
59,I really liked today's workshop because it made me feel better about myself and it helps me to forget all the bad things that happened to me.,0,,
60,I've been here five months and Windows has been a big part of loving me! Thank you.,0,,
61,"This class makes me feel so special, thanks.",0,,
62,"The CD art activity was such a success! The girls were wonderfully challenged by the activity. It helped them consider their outward presentation and interior world, all in a hip and cool way. Not only did the activity invite the girls to see themselves in a more complex way, but it was a self-esteem booster, and a centering device. What kind of world will they create? What kind of person will they be? The CD art activity assumes each girl is a gift to the world-unique and beautiful and strong.",0,,
63,"I lead Windows workshops with pregnant teens. They call me ""The Art Lady!"" and are excited when I arrive at the Center.  ",,,
\,,,,
,,,,
\,,,,
"Doing the Debut CD project, I asked the girls to create a CD that would express the message that they want to tell their child.  After the project, one of the teen moms who had been very dependent on her boyfriend said, òNever have a baby because you are lonely.""  This was a major moment of self-awareness for her.",,,,
\,,,,
,,,,
\,,,,
"It made me smile recently when one new girl told me she had heard about the Windows groups and she was looking forward to it because it would give her a break from having ""to talk about feelingsì but little did she know, they talk about feelings all the time through their art!",0,,,
64,The most effective part of the workshop was feeling that the children had succeeded in making all their dreams come true.  It was rewarding to see that all the children had so many dreams and how they really wanted them.,0,,
65,All the children shared their work with the whole group at the end.  They were very pleased to show off.,0,,
66,My mom will be surprised to see how I made my project.  I can tell her about how dream catchers work.,0,,
67,It was rewarding when the younger kids expressed some of their nightmares to the group which I thought was great because it meant they trusted everyone.,0,,
68,The workshop opened an avenue of talkù for several children ... fears and dreams about home life.,0,,
69,"Everyone shared a bad dream during the opening circle.  They shared a nightmare they had experienced during their first days at the shelter.  The next day, after making their dream catchers, the children expressed feeling a lot better at night in their beds.",0,,
70,This project was very fun. I want to add more things to my holder and plan to keep it as a reminder of what I am going through right now.  And to encourage me to be strong and continue.,0,,
71,Sharing my feelings with others shows me that I'm not the only one.  It keeps me more focused on getting my life together and assures me that there is light at the end of the tunnel.,0,,
72,The most relaxing and beautiful way to get in touch with weaknesses and strengths.  I loved it.,0,,
73,"A young woman made a little purse for her four-year-old daughter when she was finished with her pillow.  Inside she wrote her dreams for her daughter to grow up respecting herself:  having a unified family if she chooses, doing what she wants, getting an education and being independent before anything.  She had tears in her eyes as she was saying this, as she didn't have these things herself.",0,,
74,Me gusto mucho tener un momento de arte creo que si nos ayuda mucho a dejar de pensar en cosas que nos hacen dano.  Gracias por tener artes como este.,,,
\,,,,
,,,,
\,,,,
I like having a moment of art. I believe it will help us to stop thinking of things that hurt us.  Thanks for having art like this.,0,,,
75,"Once I started, I couldn't put it down.",0,,
76,"The children I worked with were all males.  What inspired this workshop, besides it being one of my favorites, is that one child shared his fear of the dark and is scared because of the violence he has seen between his mother and father.  He sometimes has had bad dreams about the things he's seen his father do to his mom.  His brother, who is older, became very tearful when he spoke about his mom and the abuse. Both boys witnessed their father choking their mom.  This child was afraid his mom was going to die if they stayed.  ",,,
\,,,,
,,,,
\,,,,
"I told them about this workshop and the youngest (9-year-old) was thrilled, he stated he wanted to put a prayer in his pillow because he believes in God and he wants something close to him at night.",0,,,
77,I feel happy today - good to be in a place that's safe.,0,,
78,"In leading this workshop, it was very rewarding to witness the children actually realizing that the most important gifts are those they don't need to buy.",0,,
79,"The children really enjoyed themselves with this project, and found a way to let out anger wherever they go.",0,,
80,I had a lot of stuff and it felt good to let it go and get rid of it.,0,,
81,"It's a great group project to start off with, the children get to express without being scared to share.",0,,
82,It is very rewarding to give the children the opportunity to experience the magic and beauty of seeing something invisible become visible.,0,,
83,I like creating expression masks because it's like therapy.,0,,
84,I want my face to be dark and scary so nothing can get me.,0,,
85,"I was feeling left out with nothing to do, but now with this smile [pointing to his art] I can leave this room and have a smile on my face.",0,,
86,"My face was an aggressive face.  After making it, I did not feel like that anymore. ó 13-year-old boy.",0,,
87,"Teacher, I feel better than when I first came in!",0,,
88,The workshop gave children self-confidence and an escape for their feelings.,0,,
89,I had fun making this shaker and can't wait to show my mom.  I can shake my bad feelings away.,0,,
90,That's so cool how you can cover up your mistakes with the paint.,0,,
91,Look!  I made a fish.  I never knew how to make a fish before!,0,,
92,Working with the crayons and paint in this workshop facilitates the children being able to make mistakes and begin again.  That's important when dealing with children who may not have strong self-esteem.,0,,
93,One of the children in our group truly became empowered via this workshop.  He was able to really appreciate what he had created with no harsh judgment of  himself.,0,,
94,I like to do art because every way is right!,0,,
95,"People die like flowers, but we can make more friends, huh?",0,,
96,"This was great freedom. It didn't matter which way or what the children made. There was lots of laughing and 'Hey, look at mine!'",0,,
97,I'm making mine into a choker.,0,,
98,I am so happy.  I don't want to leave the room.,0,,
99,I love this workshop so very much.  I always feel better about myself in some way.  It is wonderful and I feel so blessed and happy.,0,,
100,I always feel a sense of peace and calmness in Windows group.  This workshop brought out a gratitude for life.,0,,
101,"I didn't think I would like it, but I really, really enjoyed it.",0,,
102,It helped me to work something out in writing that I couldn't in my head.,0,,
103,"I love this class so much.  I look forward to this class all week, anticipating what we will be doing next.  I always leave this class feeling happy in my own skin.  It builds my self-esteem.",0,,
104,It was good for me because it let my mind go places it had never been before; it was positive.,0,,
105,I want to thank our teacher for doing such a good job at bringing out my fears through this class and making me feel positive about life.,0,,
106,It brings me out of myself and gives me a brighter future.  I feel it helps out  moving forward in life to the positive things life has to offer.  I am very grateful for this group and hope it continues in days to come.,0,,
107,The art class helps you realize a lot that you didn't or couldn't realize before.,0,,
108,I like drawing my hands and my feelings.,0,,
109,"This workshop is a reminder of how bad my life with him was, and drawing my hand gives me hope to go on and try my best to succeed for my children and me.",0,,
110,"AWBW workshops always let me know what I need to be working on... I've probably led this group over 6 times and I usually have handprints that represent the union between my husband and I... but today I worked on some childhood issues!  I've done about 3 workshops in the last 2 weeks and each time it ended up being about childhood!  I obviously needed to let more stuff out.  I did one hand representing the molester and one hand representing me now. And wow it felt good!  The contrast between the two hands was so powerful.  Thank you AWBW for allowing me as a leader to grow, heal and recover even while leading workshops.  Yahoo!  My handù was surrounded by a golden light and inside was a heart representing my love for me.  Surrounded by squiggly lines that seemed to me to be like my DNA changing, releasing all the old memories, changing, becoming new undamaged DNA.  Well ,anyway, it was way too cool for me! And the rest was a peaceful blue - one being peaceful with myself.",0,,
111,It allowed me to release rage toward his hands.,0,,
112,This is the path between two walls.  This is my mom's hand reaching from one wall to my hand on the other wall.,0,,
113,Thank you so much for such a great chance to express ourselves with our hands and mind.,0,,
114,This workshop made me focus on the positive forces in my life that have helped me hang on when I had a hard time fighting for my life.,0,,
115,Happy jars make us happy and the girls like doing this project.  I always hear a special request.,0,,
116,This helped me see that I have a lot in myself to share with others.,0,,
117,The most important thing in my heart is my mom. ó 11-year-old.,0,,
118,"Although I didn't share my art with the class, it brought me inner peace.",0,,
119,My heart is this big (holds hands outstretched) and my heart is free! ó 6-year-old participant.,0,,
120,"I miss my dad, this is him!",0,,
121,I love hearts. It makes me feel special and my mom will also feel special when I give my art to her.,0,,
122,"I feel as though my heart has been punched over and over and there is hardly anything left to hold it together, hardly anything to keep my hope from running out, hardly anything left to stop the emptiness and loss that I feel.  But if you look at this side, there are only a few holes and all the strings end there.  It's as if I know that all the painful experiences I've had are going to heal.  What I have gone through will make my heart stronger.  I will always remember, but I will be different.  I will not have an empty heart.",0,,
123,This heart is so mixed up it doesn't even know it's a heart anymore.,0,,
124,"Helping my mom brings me closer to her and I feel if she needs some help sometimes, I know I do too.",0,,
125,The relaxation took me to a place that I had not visited in a long time.,0,,
126,This class helped me to relax (I'm learning) a little more. It allowed me to let the good memories flow and reminded me that Recovery is an Inside Job (starting with me).  I just feel better in this workshop.,0,,
127,"I don't care for art, however I am appreciative of Windows Workshop! I have no doubt that over a brief period of time I'll be a strong supporter of this work.  It helps me be open my closed will.",0,,
128,"This particular class helped me to understand that I am not a victim anymore, but I am a survivor.",0,,
129,The most rewarding thing was to see the children be proud of the things they had done to help people in their lives.,0,,
130,I love these workshops! I leave feeling happier and more positive about whatever lies outside the doors.  I've realized I can actually express myself better with art.  Thank you!,0,,
131,I think that this program is really helpful to my mom. It helps her relax and feel good.  She always shows us what she has created here at this program.  This program is great. ó Teen child speaking about mom.,0,,
132,This workshop was very helpful in accepting who I amù and not feeling ashamed.,0,,
133,"This group is powerful, allowing us to share our innermost selves in a safe place.  Thank you.",0,,
134,Esto es magnifico taller porque nos ensena a luchar y que somos unas mujeres  muy valiosas en nuestra sociedad.,,,
\,,,,
,,,,
\,,,,
"This is a magnificent workshop, because it teaches us that we are valuable women in our society.",0,,,
135,I enjoyed this time because I'm better with pen and paper than with my voice.,0,,
136,Thank you for allowing me to remember who I am.,0,,
137,It has helped me open up and realize I'm worthwhile.  I found out I'm not alone.,0,,
138,"Excellent - at first I thought that the ethnic mixing wouldn't work but these ladies moved me with their strength, coming from different cultures.",0,,
139,Great to reflect on positive aspects of myself and illustrate them.,0,,
140,I feel the workshop has helped me significantly with a lot of my self-esteem issues.  It has also helped me to feel comfortable in my own skin.,0,,
141,I am loving myself so much more.  I am accepting.  I am accepted.  I am at home.,0,,
142,I have to show my mom all the things I've made so far.  I want to hang some things on the wall to look at.,0,,
143,"People see me smiling, but inside I am not smiling.",0,,
144,This workshop brought out emotions in one child that I had no idea were going on.  It was great!,0,,
145,We should do this one again when I feel mad.,0,,
146,I feel so much relief now that I have made room for happiness.,0,,
147,"Doing the Life Clock workshop, I could see my time was running out.  I would have been killed and my life clock would have stopped if I had stayed with him.",0,,
148,"It's time to wake up! My heart is in the middle but it's trying to have clear thoughts. Time to remember dreams, look at the truth, to have quiet times, to play, to leap and to soar.",0,,
149,"Reminds me how my grandmother's clock used to irritate me. Where it was sitting it always used to get in my way and it seemed like I was always accidentally knocking it off the wall. (She laughs). So now when I think of that clock I am reminded that I am free from bondage, free to look at my anger and to ask myself why was I selling my soul? Here the pendulum is in motion again, just like my life is in motion again.",0,,
150,I'm not a very creative person.  But this allowed me to do something with art I can be proud of.  It really helped me!,0,,
151,"It's hard to remember my past without feeling sad but all this pictures cutouts and colors brighten up my future.  Even though my past is gray, black and blue.",0,,
152,"I'm really looking forward to a happier me, healthy with much spirit.  Laughing out loud!",0,,
153,This workshop reminded me that I am complete all on my own and don't need anyone else to make me whole.,0,,
154,"I'm putting my daddy on this bag, because he needs some magic right now.",0,,
155,I used to draw myself sad but since I live in the shelter I see myself happier.,0,,
156,This doesn't look like me but maybe later I'll be this happy.,0,,
157,I want my world full of peace and good people.,0,,
158,Hoy me permitiste expresar que en realidad tengo mucho por dar y por sacar.  me encuentro mas tranquila que cuando llegue a este lugar; realmente me da gusto que cada dia este recuperando mi vida y mis suenos.                              ,,,
\,,,,
0,,,,
\,,,,
,,,,
\,,,,
[Today you allowed me to express that in reality I have a lot to give and take out.  I find myself more tranquil than when I came into this place.  In reality I am happy that every day I recoup my life and my dreams.],0,,,
159,I like making Mistake Turkeys.  Now I feel like I have very few mistakes of my own.,0,,
160,I think all of the children enjoyed the challenge of fitting the pieces together and got the correlation between that and putting their lives back together.,0,,
161,"The colors and shapes are so different, put them together and we can make a picture.  It's like the colors can be our feelings and the shapes are what we do, our actions.",0,,
162,My life must be organized with love and support.,0,,
163,"This workshop was just really awesome. These kids really love their moms. One said, ""My mom is so special, she deserves everything I make.""",0,,
164,"The children cheered when we said, òToday we will be using paint.""",0,,
165,Will I be able to fly when I leave the shelter?,0,,
166,"A lot of the children didn't believe they were capable of making a butterfly, and it really built up their self-esteem.",0,,
167,I liked to make the flowers.  I liked to make the garden as my family.,0,,
168,"This was a challenging workshop, but I really enjoyed it. Thanks.",0,,
169,It was so rewarding to see the children's faces when the music boxes were complete. The sounds were amazing.,0,,
170,My scarecrow needs a lot of protection because she is being called lots of names. I will make my scarecrow stronger and she will be able to say what she feels. She will stand up for her rights.,0,,
171,It was very rewarding when one child expressed placing his scarecrow in front of his home in order to protect his family.,0,,
172,"All my wishes from the past, until now, have been that my mom and dad would be nice to each other.",0,,
173,I was very moved when an ongoing participant stated that the Women's Windows helps her explore the deeper underlying stuff. She also stated that it helps her bring out her subconscious thoughts and emotions.,0,,
174,The treasure box project allowed the women who only have a photo of their kids to express their pain and hope for the future.,0,,
175,Thank you for helping me to feel better.,0,,
176,"El taller se llama el Jardin de Flores. Mi jardin empieza cuanto todo en un principio es muy trizte, pero poco a poco van surgiendo nuevas esperensas y todo al final es muy feliz.",,,
\,,,,
,,,,
\,,,,
"The workshop is called the Flower Garden.  My garden when it starts is sad, but little by little new hope is surging and the end is very happy.",0,,,
177,"My garden is great for my mom, she misses her garden at home. ó Five-year-old.",0,,
178,Me gusto mucho recortar y pegar los recortes tenia mucho tiempo que no me sentia tan nina o sea contenta.,,,
\,,,,
,,,,
\,,,,
"I really enjoyed collaging and pasting, it has been a long time since I felt like a kid, happy.",0,,,
179,I always love Our Family Treeù because we do a variation which expresses our positive feelings about each family member,0,,
180,"Esto fue como una herramienta mas para seguir adelante y fortalecerme mas como ser humano y mujer. Sentirme mas relajada y pensar mas positivo y sentir que tengo mucho valor y que si se puede salir adelante y encontrar lo que uno quiere, respeto, tranquilidad. etc.",,,
\,,,,
,,,,
\,,,,
"This is like a tool to continue forward and to strengthen me as a human being and woman.  Makes me relax and think positive, helps me to know I am strong and I can continue forward, that I can make it and find what I want, respect and tranquility, etc.",0,,,
181,Gracias por este taller y espero que sigamos teniendo arte porque realmente nos ayudan.  El arte y la meditacion son abren el corazon y podemos hablar en papel.,,,
\,,,,
,,,,
\,,,,
"Thanks for this workshop, please continue to have them, they really help us.   The art and meditation open up our hearts and we can speak on paper.",0,,,
182,"El arte me hizo sentir abierta en el circulo, sin miedo, confiada de mis misma, y expresar con mi voz mis sentimientos y fracasos... Tambien me hizo mirar lo que quiero y ver el camino mas claro.",,,
\,,,,
,,,,
\,,,,
"The art made me feel open in the circle, without fear, confident in me. I was able to express in my voice, my feelings and bad choices.",,,,
\,,,,
"it also made me see what I want, and my path more clearly.",0,,,
183,"El taller es un recurso maravilloso gracias a cada una de las actividades pudimos expresar nuestros sentimientos. Yo antes de estar en el taller no hubiera imaginado que con colores, y figuras pudiera sacar mi tristeza y tambier ver mi futuro y mis suenos.  ",,,
\,,,,
,,,,
\,,,,
"The workshop is a wonderful resource, thanks to each activity we are able to express our feelings.  Before I came to this workshop I would have never imagined that with color and figures I could take out my sadness and also see my future and dreams.",0,,,
184,In this workshop I was able to get in touch with my higher power.  I was able to focus on God and how much He has done and is still doing for me.,0,,
185,This class is a blessing and always helps me to really get in touch with my feelings and sort out a lot of different feelings.  I am even starting to love art a little bit.,0,,
186,"This class was fantastic.  It's an amazing way to look at where I've been, where I am today, and where I can possibly go with my future.",0,,
187,"This workshop has helped me to dig inside of myself and find hope, in every meaning of the word, in every aspect of my life.",0,,
188,When I made this project it helped me to find my identity and my self.  ó 17-year-old participant.,0,,
189,I look cool as a doll!,0,,
190,So far the workshops have been awesome.  It has taken a minute for the ones that are just starting the class to open up.  It is after they realize they don't have to be artists that they start to enjoy it.,0,,
191,This was fun and it makes it easier to express my feelings because I'm a little shy.,0,,
192,It was most rewarding to see the children feeling so positive.,0,,
193,It was most rewarding seeing some of the kids who have their walls up able to relax and have fun.,0,,
194,I want to be a bird so I can fly anywhere in the world.,0,,
195,This workshop was the best one I've ever done in my whole life!,0,,
196,"Creating art is such a freeing experience.  Even when you're expressing some of the most painful experiences of your life, the art makes it so you can handle it.",0,,
197,In the art workshops there's such a validation of your worth and a caring that enables you to take the next step.,0,,
198,"It caused pain to re-enter, but in dealing with these issues, it allowed me to face them with more confidence.",0,,
199,I just would like to thank you all for every little thing you've done for me and other women out there that need this just one step to keep on going to a better life and living. Thank you very much.,0,,
200,"I think by using pictures that show the things I want to accomplish, it makes it easier for me to see for myself.",0,,
201,I didn't know that my children empower me until today. This Windows was the best experience ever.,0,,
202,This class has made me realize how healing art can be. Thank you.,0,,
203,"The class ornaments made me feel empowered, spiritual, and hopeful.",0,,
204,This class released all my negativity.  For two hours I felt totally at peace.  I had happy thoughts. I do need to practice to be more creative.,0,,
205,It was very rewarding to see what great fun these kids had.,0,,
206,I trust my brother- I can tell him anything.,0,,
207,"If we did this everyday, I'd come to school more often!",0,,
208,The kids wanted to make enough Safe Rocks for their whole family!,0,,
209,"I will call this my pocket rock, my safe keeper. When I am feeling down, this will remind me to keep my head up high.",0,,
210,"Every time I don't think I want to do art, but then I do it and I don't feel angry any more.",0,,
211,I am scared of everything around me.,0,,
212,I feel safe with street lights.,0,,
213,I used to draw myself sad but since I live in the shelter I see myself happier.,0,,
214,I want to be a bird so I can fly anywhere in the world.,0,,
215,I miss my brother.  When I have my own home I will have my brother back.,0,,
216,It was very rewarding to see what great fun these kids had.,0,,
218,It was very rewarding to see both the mothers and daughters engaging in the activity and enjoying it.,0,,
219,I am able to say yes to my mom and treat her better today.  I used to say no and treat her mean.,0,,
220,The women reach out to each other so much through their art. It sort of creates a language all its own that all these women understand.,0,,
221,Everyone changes just like butterflies!,0,,
222,We told you more than we intended to!  Now you know one of our secrets that not even our friends know.,0,,
223,"We made life sized paper cut out superheroes from cardboard.  We traced the childrenís bodies, and then they added clothes, hair, faces, belts and outfits.  The children began to feel a little bit like superheroes themselves.",0,,
224,13-year-old male was frustrated and stated he didnít feel creative and seemed a little frustrated.  End result was he was very pleased with his mask.,0,,
225,This masks tells about all of my painful memories.  They are all trapped inside about my days. My dad threatened to KILL my mom! ó 9-year-old boy.,,,
\,,,,
,,,,
\,,,,
(The boy stopped talking once he said this.  He seemed to be very relieved once he got it out.  He said that his mask holds memories but not his thoughts!),0,,,
226,"On the front of the doll, the Holy Spirit is a star; the colors of the fabric and the yellow jewel represents the rain, the wind, and Jesus.  Each of these materials hangs from stands of various fabrics, red, bold blue, and royal in color.  The color turquoise is equal to Heaven and is represented in the purity on the waist band of the angel.  There are feathers to catch all the tears because the Angels sweep their wings wide and full before they touch the ground.  They will not miss a tear.  The feathers have the eyes of the angels on them and they donít miss much.",,,
\,,,,
,,,,
\,,,,
"On the back of the tear catcher doll there are eight strands of fabric to store all the tears.  Seven is the perfect number of God and the eight strand is the completion of all the tears.  When the strips are full of tears, the angel wings cover the tears.  They protect, cover and wrap the tears in their arms and take them to heaven.  the tears are kept in a bottle, waiting for their owners to claim them.",,,,
\,,,,
,,,,
\,,,,
"The face of the tear catcher doll has no face, because it could be anyoneís face.",,,,
\,,,,
,,,,
\,,,,
"The heart of the tear catcher doll has a single diamond in the center, for the tear that is unshed.  A wire connects this tear to the heart of God.",,,,
\,,,,
,,,,
\,,,,
Soul-Mate Tear Doll,,,,
\,,,,
This is my real best friend.  I donít know where sheís taking me but itís OK because sheís always smiling.  her color is light blue because itís calming.  My dollís color is platinum because thatís the combination of silver and gold and thatís the combination of my best friendís favorite color.  It represents friendship.,,,,
\,,,,
,,,,
\,,,,
One-Eyed-Doll,,,,
\,,,,
This doll is me right now.  I put wore in her hands because she needs the wire for support and to face problems.  The star above her heart represents my son because he is in my heart.  There are round brass pieces on the back of my tear-catcher doll and these represent the parents who support me. The face of my doll has only one eye.  This is the eye she will be looking through for her future husband/mate. (She winked) Iím going to be very careful next time! (She laughed and made her point that judgment is essential!),,,,
\,,,,
,,,,
\,,,,
Festive Doll,,,,
\,,,,
"This doll is going to a part.  She loves color, festivity and sheís not thinking too much, just a better life and goodness. She has hopes for the future to do what she hasnít done.  She is a big star with three little buttons.  She has to be the star because she is the mother but her buttons keep her together and hold her up because they are her three little girls.",,,,
\,,,,
,,,,
\,,,,
Red and Black Doll,,,,
\,,,,
"Red and black symbolize celebration, new opportunities, my own new life and home.",0,,,
227,"Once again I am overwhelmed by how many good things and feelings it brings out, also, how far and how much I have been through.  This is one of the best classes I have ever had.",0,,
228,"This class makes me feel better, stronger and free to express myself  and I like myself more and more!  Thank you.",0,,
229,I really enjoyed finding outlets for my feelings and this is the perfect way.,0,,
230,"I love these workshops!  I knew a lot of this stuff about myself already but it really helps to actually write, draw, lay them out.  I am finding out more things about myself and I really like that.  I still have my fears of putting myself back in a bad cycle but I definitely feel stronger every day.  Thank you.",0,,
231,Once again Windows was an eye-opening and heart-warming experience for me.  It allowed me to focus on what is important for me and let go of the past.,0,,
232,"There was one ten-year old girl in our shelter who seemed very depressed.  I asked her to draw me a picture of her life, and then two weeks later I asked her to draw me a picture of her life again.  In the second picture there was light coming through.",0,,
233,"I am so excited about how the kids stay focused and involved for the entire workshop!  One of the children (5 years-old) has a very difficult time staying focused on one thing without bouncing off the walls.  For both workshops that we have done, he continues to be relaxed and completely involved.",0,,
234,My monster is Marilyn Manson and he hates people. I feel the same way at times.,0,,
235,"My monster is like a devil from hell, beating up God and taking over my whole body.",0,,
236,Thanks for not judging us on our work!,0,,
237,Adults usually donít want to hear what we have to say!,0,,
238,It helped to get some of the mean ugliness out of me.,0,,
239,"ìI canít do itî, ìI canít do itî.  Holding her head/face in her hands,  sobbing.  (I told her itís okay, you donít have to if you feel uncomfortable), she said, ìNo, its okay I can do it!î  She cried as she did her monster picture and was the first one done.  When I asked if anyone wanted to share with us, she was the first one to share.  She cried and told us how she was sexually molested as a child (sheís now 56) and how hurt she is.  She says she canít get over it.",0,,
240,My monster has a smiley face because sometimes monsters pretend they are nice but they are really mean on the inside.,0,,
241,It made it easy to express and let my peers see my inner monster without bringing it out physically.  Thank you.,0,,
242,This is who I am and I am special no matter what.,0,,
243,"The children really seemed to enjoy creating a symbol of who they are, their own identity. It was a very moving experience to see them open up about themselves, how they felt inside and out.  Having them all share about themselves brought out a lot of self-esteem issues for the good.",0,,
244,I want my Mom to have a happy face and no more tears.,0,,
