id	str_name	windowstypeid	str_district	dte_start	dte_end	str_locality	num_statusid	num_obligationid	txt_description	txt_notes	str_filemakercode	bln_inactive
82	Pearl Battered Women's Resource Center Children's	2	MN	0000-00-00	0000-00-00	Outside CA	2	3				1
83	Asian Pacific Women's Center (APWC) Women's	1	1 and 4	0000-00-00	0000-00-00	LA City	1	1	Note:  Office and Shelter are located in two different districts and they don’t want to specify which is where.\
Attended T131	12/15/2004:Sent Eval  |	06827	0
84	Peace & Joy Care Center Women's	1		0000-00-00	0000-00-00	LA County	1	1	Inactive b/c have not sent in reports or paid for either of the scholarship balances they committed to paying.	10/5/2004: CS spoke to Ronnie.  She said Sharon Biden is the new Women's leader, & that she'd love it if we'd help Sharon get started with the Women's art workshops & reporting before the Feb 05 training.  Says she's not sure if there's a manual.  CS told her we'll need to see some consistency of reporting in order to award scholarships to Peace & Joy b/c of turn-over.  Ronnie understood & agreed.  |    |  7/03 Raishawn says she sent in her march report, & she'll send in April & 00 for May(b/c she was on vacation) & a partial for June.	P0091	0
85	New Start Center Children's	2	LA	0000-00-00	0000-00-00	Outside CA	5	3			P0092	0
86	Listening Ear Crisis Center Women's	1	MN	0000-00-00	0000-00-00	Outside CA	5	0	Transitional Shelter			1
87	Listening Ear Crisis Center Children's	2	MN	0000-00-00	0000-00-00	Outside CA	5	3	Transitional Housing / workshops 2X per month.			1
88	Interval House Women's	1		0000-00-00	0000-00-00	Southern CA	3	1	Started with Scholarship from Michael Kendall.	1/12/2005:OP left a msg for Jayshree asking her to call back regarding any extra #s for 04 & if they have staff for T51 to reinstate program otherwise Interval House Women's status will be changed to inactive.  |  12/15/2004:Sent Eval  |  6/18/2004:OP spoke to Jayshree - will send in April reports & let us know if she will continue to report. Grant funding obligation is over & they don't have staff doing it.  |  2/3/04: We still need Cecilia Alexander registration form.    |  12/11/2003: Get Registration of leadership from Cecilia Alexander.  |  Yana Shaw will no longer be with Interval. She's going back to school. she'll be in touch.		0
89	TWC - Tundra Women's Coalition Women's	1	AK	0000-00-00	0000-00-00	Outside CA	2	3		12/15/2004:Sent Eval  |  6/17/2004:Trini & Olivia attempted another call.  |  5/10/2004:no response  |  2/3/2004: Please contact & say hello. See if they're active & ask Grace if she would like to start a reporting for this program.  |  NOTE- Grace is a new Leader.	P0103	1
90	Trinity Hospice	0		0000-00-00	0000-00-00	LA County	1	5	Starting program in hospice.		NULL	0
91	Womencare Shelter - Outreach Women's	1		0000-00-00	0000-00-00	Outside CA	2	3			P0806	1
92	Jenesse Center, Inc. Women's	1	10	0000-00-00	0000-00-00	LA City	4	1	Attended T122	1/20/2005:Lily Habte no londer working @ jenessee  |  12/15/2004:Sent Eval  |  12/13/2004: Sherelle called back after op made several attempts to locate her. CS spoke with Sherelle - Sherelle' s position changed 9/04 out of client services but is going to train Lily Habte 323-290-8321 & will send missing reports for Aug/Sept04  |    |    |  District 10  |	P0110	0
93	delete	1		0000-00-00	0000-00-00	LA County	2	2				1
94	YWCA Glendale - Step Ahead Women's	1		0000-00-00	0000-00-00	LA County	2	0	Transitional	Shelter closed		1
95	Women's & Children's Crisis Shelter Women's	1		0000-00-00	0000-00-00	LA County	1	1		Sandy Baker is no longer working at WCCS  |	P0113	0
96	Dominguez Family Services Women's	1		0000-00-00	0000-00-00	Northern CA	2	0		Shelter closed in 99.		1
97	1736 Family Crisis Center Emergency Children's	2	10	0000-00-00	0000-00-00	LA City	2	0		Discontinued 9-02 due to short staffing.		1
98	1736 Family Crisis Center 2nd Step South Bay Children's	2	10	0000-00-00	0000-00-00	LA City	2	3	2/04: this is now a Women’s teen program. She uses Women’s forms but Ramona was trained as a children’s leader and teens are technically children’s program - so her reports and numbers get counted as such.	12/15/2004:Sent Eval  |  3/1/2004: Ramona Young started this as a teens women program  |  6/4/2004:go through folder & find other reports.   |  Inactive since 8-01.		1
99	Su Casa Children's	2	1	0000-00-00	0000-00-00	LA County	2	0		Discontinued 2002.	P0117	0
100	Survivor's Art Circle Women's	1		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval	P0118	0
101	Haven House (NY) Children's	2	NY	0000-00-00	0000-00-00	Outside CA	1	3		12/15/2004:Sent Eval  |  Lucy trained Carolyn to launch program.	P0124	0
102	Noble House, Inc. Children's	2	IN	0000-00-00	0000-00-00	Outside CA	5	0				1
103	WAVE Women Advancing the Valley Through Economy & Empowerment Children's	2	7	0000-00-00	0000-00-00	LA City	2	1	this program only held one 5 participant workshop in all of 2003.	6/30/2004:  Lorena is no longer at WAVE. Cathy spoke with Linda.  They've been in turmoil with the construction at their site.  Should be done in 7 weeks & they will have a group room to meet in.  She plans to start the art workshops then, thinks the art will be such an important resource.  I told her to call when she picks a leader & we can help them get started.  Lorena left the manual, so they have that.  |  2/3/2004:Please follow up on status of this program. please ask her for approx. date when they will resume workshops.   |  1/22/2004:CSilver spoke with Linda: Lorena left wave- Linda has replaced her she will call OP soon.  |  12/03 Lorena said they have not held workshops b/c moving-ot asked for a note or report that explains this & ask for approx. date when they may start.  |  Linda Chavez attended training 8/03 for the Women's program.		1
104	Interval House (The Maurice House) Children's	2		0000-00-00	0000-00-00	Southern CA	2	1		12/15/2004:Sent Eval  |  10/10/2004:  |  The staff is stretched too thin & the budget has been cut so they cannot send any one for the trainings but may be interested in May  |  Awaiting registration from Jayshree Patel program director will be new Liasion ext. 240.  |  Alicia McGregor (current intern)		1
105	Center for the Pacific-Asian Family (CPAF) Children's	2	2,3	0000-00-00	0000-00-00	LA City	1	1	Emergency/Transitional	|  12/15/2004:Sent Eval	P0156	0
106	Strength United Children's Program Children's	2		0000-00-00	0000-00-00	LA City	1	1	Name changed from Valley Trauma\
\
Reinstated 11/13 - Training @ CSUN	12/18/03:Elana will no be doing workshops at Valley Trauma do to her work schedule.  She also said that she couldn't start the program because they lack the space to do it. She says she's disappointed  that it didn't work out.  She says she'd like to help at another facility.	P0157	0
107	Survivor's Art Circle Children's	2		0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval	P0158	0
108	Five Acres - Residential Treatment Center Children's	2		0000-00-00	0000-00-00	LA County	3	1		6/04: Roxanna Mayo-Turner is the new Executive Director & will be our new contact for this program. They have undergone a lot of changes.	P0159	0
109	Chicana Service Action Center Women's	1	9,14	0000-00-00	0000-00-00	LA City	4	1	Attending T121, Attended T122	12/15/2004:Sent Eval  |  5/2004:No workshop in May due to Agency certification  |  2/3/2004:-  |  Elvia Called: Fabi & Elvia were supposed to get together last week to complete Annual Evaluation. We haven't rec'd it.  |  Note:  Fabi is the Liasion & Elvia is a volunteer leader. They work in a team. Elvia sent a highlight story from the painted prayer workshop.	P0162	0
110	YWCA Spokane Women's	1	WA	0000-00-00	0000-00-00	Outside CA	2	0	Entered 2003 from Participant Totals			1
111	AAVDV - Association to Aid Victims of Domestic Violence Children's	2		0000-00-00	0000-00-00		2	0				1
112	The Abbie Children's	2		0000-00-00	0000-00-00		2	0				1
113	Florence Crittenton Center Children's	2	LA City	0000-00-00	0000-00-00	LA City	2	1	this is a Women’s teen program. She uses Women’s forms but Ramona was trained as a children’s leader and teens are technically children’s program - so her reports and numbers get counted as such.	3/3/2005:  |  12/15/2004:Sent Eval		1
114	Little Tokyo Service Center Women's	1	9	0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval	P0167	0
115	WAVE Women Advancing the Valley Through Economy & Empowerment Women's	1	7	0000-00-00	0000-00-00	LA City	2	1		4/19/2005:  CS left voice mail asking how it's gone since the construction - have the art workshops started?  We'd love to support their program.  |  6/30/2004:  Cathy spoke with Linda.  They've been in turmoil with the construction at their site.  Should be done in 7 weeks & they will have a group room to meet in.  She plans to start the art workshops then, thinks the art will be such an important resource.  She will train other staff to lead.  I told her to call if there's any support she needs from us.   |  2/3/2004:  |  Please notify them that the women's program is not currently active. Ask Linda to call Olivia to reinstate & for an apporximate date they may resume workshops.  |  12/5/2003:  Have not been doing workshops because they are moving location.  |  Linda Chavez attended training 8/03 for the Women's program		1
116	SACA - Sexual Assault Crisis Agency Women's	1		0000-00-00	0000-00-00	LA County	2	1		12/15/2004:Sent Eval	P0169	1
117	Montana Coalition Against Domestic & Sexual Violence	0	MT	0000-00-00	0000-00-00	Outside CA	3	0	Program Record 	9/8/2003:  |  Judy is the person overseeing Mary Huigen. MCADSV paid for Mary's training & would like documentation (Invoice, certificate & collaboration outline) of Mary's work.  |  Mary will also be doing worshops for this agency as well 	NULL	0
118	Chicana Service Action Center - Emergency/Transitional Children's	2	13	0000-00-00	0000-00-00	LA City	1	1		1/20/2005:olivia spoke with Esther & Olivia Rodriguez. Esther promised to send in her reports from July-Dec. She says she's mostly working with babies so she didn't think we would want those reports. I explained to Esther how reporting works...  |  12/9/2004:Olivia has tried on repeated occasions to contact Olivia Rodriguez & esther. I emailed esther asking her for a letter of explanation or to contact me for help regarding the pending start of this program.   |  6/21/2004op spoke to Esther- she will turn in a report for June with maybe one workshop & is waiting to get a schedule from Olivia Rod.	P0179	0
119	Jewish Family Service (JFS) - Hope Cottage Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval	P0187	0
120	Center for Women & Families Children's	2	KY	0000-00-00	0000-00-00	Outside CA	2	3	Distance Training	12/15/2004:Sent Eval	P0188	1
121	Tri-County Network Livingston Children's	2	MT	0000-00-00	0000-00-00	Outside CA	4	3		1/18/2005:OP spoke with Scarlett—She will send in estimates for 2004 & will start reporting again. she's an art therapist at the shelter.  |  12/15/2004:Sent Eval		1
122	El Centro Inc. Children's	2	KS	0000-00-00	0000-00-00	Outside CA	1	0	Distance Training	12/15/2004:Sent Eval	P0191	0
123	Heritage House North Women's	1		0000-00-00	0000-00-00	Orange County	1	1	Attending T121	12/15/2004:Sent Eval	P0192	0
124	Pathways Women's	1		0000-00-00	0000-00-00	LA County	4	2	Institute for Urban Research and Development	12/15/2004:Sent Eval	P0194	1
125	Pathways Children's	2		0000-00-00	0000-00-00	LA County	1	3		12/15/2004:Sent Eval	P0195	0
126	Unalaskans Against Sexual Assault and Family Violence (USAFV) - Community Center Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1	This is actually a teens program that is mostly young women.	4/8/2005:Diane is currently working only 2-10 hours weekly.  |    |    |  12/15/2004:Sent Eval	P0196	0
127	YWCA Gateway House Children's	2	MT	0000-00-00	0000-00-00	Outside CA	1	3		12/15/2004:Sent Eval  |  9/2/2004:Susan Sanchez Montana has quit YWCA Gateway – new person is being trained – her name is Daniel Patterson – I called him & he will set up a time to talk. He has not held workshops  & Susan didn't train him but she said great things about the program. Currently he only has infants...	P0197	0
128	YWCA Mercy House Children's	2	MT	0000-00-00	0000-00-00	Outside CA	2	3		12/15/2004:Sent Eval		1
129	YWCA of Northeast Lousiana Children's	2	LA	0000-00-00	0000-00-00	Outside CA	5	3				1
130	Domestic Violence Program Inc. Women's	1	TN	0000-00-00	0000-00-00	Outside CA	5	3	Distance Training	2/8/2005:op spoke w/shari...She will submit a picture of a variaton of the self esteem map workshops...also she is going to start reporting in Feb	P0200	1
131	The Network Bozeman Children's	2	MT	0000-00-00	0000-00-00	Outside CA	2	3		12/15/2004:Sent Eval		1
132	Roswell Refuge Children's	2	NM	0000-00-00	0000-00-00	Outside CA	1	1	Distance Training	12/15/2004:Sent Eval	P0202	0
133	Center for the Pacific-Asian Family (CPAF) Women's	1		0000-00-00	0000-00-00	LA City	1	1	Kathy attending T112	12/15/2004:Sent Eval  |  Sunny is having some problems engaging the women in effective relaxation.  |  Also some clients are finishing projects really fast & get ansy & leave early -these same clients get the group down with their negativity in the group during the opening circle.  |  She's also having a hard time getting the women to express themselves	P0203	0
134	Su Casa - Non-residential Women's	1		0000-00-00	0000-00-00	LA County	1	1	A.k.a. outreach	2/14/07: Made active.\
1/18/2005:Can only 2 prog. due to restructuring in curriculum.   |  12/15/2004:Sent Eval	P0204	0
135	The Leeshore Women's Resource & Crisis Center Women's	1	AK	0000-00-00	0000-00-00	Outside CA	2	3	Register via Support Registration and subscription of Leasders Updates.	9/10/2004:OP made this program suspended because never Started		1
136	Safe Space Children's	2	MT	0000-00-00	0000-00-00	Outside CA	4	3	Paid for update subscription 2005	5/3/2005:op changed her status to Reinstate & will follow up.  |  12/2004: Op sent tonya a teen manual.  |    |  12/17/2004 Op spoke with Tonya- She is going to register other leaders & wants the teen manual. OP faxed her forms.	P0214	0
137	Duplicate Tessa Children's	2	CO	0000-00-00	0000-00-00	Outside CA	2	1	rec’d a 1/2 scholarship and art supply scholarship	12/15/2004:Sent Eval  |  9/3/2004: OP left a message in response to emily—wants to order supplies - send list & have her buy plexiglass & possibly shrink dinks form awbw		1
138	Miss Julie's Childcare Children's	2		0000-00-00	0000-00-00	Southern CA	2	2	Outreach	12/15/2004:Sent Eval	P0218	1
139	House of Ruth - Outreach Children's	2		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  EIF Scholarship for Children's Program	P0219	0
140	The Women's Center (IL) Women's	1	IL	0000-00-00	0000-00-00	Outside CA	1	3		12/15/2004:Sent Eval  |  5/28/2004:OP checked in	P0220	0
141	Tundra Women's Coalition Children's	2	AK	0000-00-00	0000-00-00	Outside CA	4	3		4/11/2005:4/11/2005:Olivia attempted to reach Annie on several occasions to get her reinstated -no response -difficult to reach  |  12/15/2004:Sent Eval	P0223	0
142	Heritage House North Children's	2		0000-00-00	0000-00-00	Southern CA	1	1		2/9/2005:  |  12/15/2004:Sent Eval  |  6/23/04: did monster in me as first workshop & it is going very well.	P0224	0
143	Jewish Family Service (JFS) - Tamar House Women's	1	3	0000-00-00	0000-00-00	LA County	1	2		12/15/2004:Sent Eval	P0225	0
144	LACAAW Women's	1		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval  |  10/6/2004:  Dianna said to CS it's been harder than she expected to train staff (time issues).  CS encouraged her to start her own program first, & then broaden throughout the agency, rather than starting by trying to trian staff.  She's got 8 women signed up for her first workshop Oct. 15th.  She'll report to us, & will hold workshops monthly as a start.	P0228	1
145	The New Bedford Women's Center (MA) Women's	1	MA	0000-00-00	0000-00-00	Outside CA	1	1	Attending T121	12/15/2004:Sent Eval  |  9/23/2004: Says sent report for August last week with photos.  Has led 4 workshops.  :-)  |  Trudi works in shelter & in EWS Prison - Truddi wants to use art as a language to communicate with clients b/c a  lot of them are ashamed of illiteracy.	P0229	0
146	Valley Oasis - Steppin' into the Light Women's	1		0000-00-00	0000-00-00	LA County	2	2		12/15/2004:Sent Eval	P0230	1
147	Laurel House Battered Women's & Children's Shelter Women's	1	PA	0000-00-00	0000-00-00	Outside CA	4	1		12/15/2004:Sent Eval  |  9/23/2004: Carolyn's sent in report - workshops are going great.  They love shrinky dinks.	P0231	0
148	YWCA of Kauai - Family Violence Shelter Women's	1	HI	0000-00-00	0000-00-00	Outside CA	1	3			P0232	0
149	Margaret Lesher Centers Women's	1		0000-00-00	0000-00-00	Northern CA	2	1	Stand! Against Domestic Violence  |	12/15/2004:Sent Eval  |  Julie is going to train Stella in 9/04: Women's Program & Stella is going to train Julie in Children's program		1
150	United American Indian Involvement (UAII) Women's	1		0000-00-00	0000-00-00	LA City	3	1	Mostly teen girls at the Roberts Sundance Wellness Center  |  Adults at Tarzana Treatment Center  |\
Attended T122\
Attended T131		P0234	0
151	Alternatives to Family Violence, Inc. Children's	2	CO	0000-00-00	0000-00-00	Outside CA	1	3	Yolanda is the Director and was NCADV04 trained\
Distance Learning 5/07 - Duffy DeMarco		P0236	1
152	My Sisters House Women's	1	NC	0000-00-00	0000-00-00	Outside CA	1	3			P0237	1
153	Another Way, Inc. Children's	2	FL	0000-00-00	0000-00-00	Outside CA	1	3	Received registration of support from NCADV Conference 2004	2/8/2005:Stacey left a msg & op retruned her call. OP will follow up.  |  12/15/2004:Sent Eval	P0238	1
154	Oshun Village Shelter Women's	1		0000-00-00	0000-00-00		2	0				1
155	Lancaster, OHIO Women's	1	OH	0000-00-00	0000-00-00	Outside CA	2	0	Shelter Listed in 1998 Participant Totals-Found no link in database to this program			1
156	COBRA Women's	1		0000-00-00	0000-00-00	Outside CA	2	0	Shelter Listed in 1998 Participant Totals-			1
157	Domestic Violence Solutions Santa Barbara Children's	2		0000-00-00	0000-00-00	Southern CA	2	1		12/9/2004: OP sent an email asking for estimated start date\
inactive-leader moved to new place.	P0243	1
158	South Asian Network Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0244	0
159	Alaska Family Services (AFS) Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	0	waiting for reports	3/15/2005:Op left a msg. at Karen Johnsons home... Karen & I talked last fall & she said she would start reporting. We were going to give her an art supply scholarhsip as soon as we received her first 3 reports. I called to follow up...	P0245	0
160	Peace Over Violence Children's	2		0000-00-00	0000-00-00	LA City	1	1		12/15/2004:Sent Eval\
Formerly LACAAW		0
161	Domestic Violence Solutions Santa Maria Children's	2		0000-00-00	0000-00-00	Central	2	1		12/9/2004: OP sent an email asking for estimated start date	P0247	1
162	Human Options Women's	1		0000-00-00	0000-00-00	CA	1	1	Attended T131		P0248	0
163	Haven Shelter Women's	1	WI	0000-00-00	0000-00-00	Outside CA	2	0	Old program - was active in ‘97, but didn’t report.			1
164	Dominguez Family Services Children's	2		0000-00-00	0000-00-00	LA City	2	0				1
165	Interface Children Family Services Children's	2		0000-00-00	0000-00-00	Southern CA	1	0		NCADV 2010	P0251	0
166	Susan Kehoe-Jergens' Project Children's	2		0000-00-00	0000-00-00	LA County	2	0	10/25/2004:Created this record as a program record for 1997 stats entry			1
167	YWCA Glendale - Domestic Violence Project Children's	2		0000-00-00	0000-00-00	LA County	1	0	10/25/2004:Created this record as a program record for 1997 stats entry			0
168	Juneau Youth Services - Cornerstone Children's	2	AK	0000-00-00	0000-00-00	Outside CA	5	1				0
169	Human Options - Second Step Transitional Children's	2		0000-00-00	0000-00-00	LA County	1	1	Maggie was trained 11/12/2004	1/14/2005:  |  12/9/2004: OP sent an email asking for estimated start date	P0255	0
170	1736 Family Crisis Clinic Long Beach Children's	2		0000-00-00	0000-00-00	LA County	2	0				1
171	Watts Domestic Violence Center Children's	2		0000-00-00	0000-00-00	LA City	2	0				1
172	The Women's Shelter Children's	2		0000-00-00	0000-00-00	Northern CA	2	0				1
173	YWCA Spokane Children's	2	WA	0000-00-00	0000-00-00	Outside CA	2	0	Entered 2003 from Participant Totals link in rolodex to Jennifer Muhlbeier			1
174	Project Safe House/Community Solutions, Gilroy Children's	2		0000-00-00	0000-00-00	Northern CA	2	0	Created for 1999 Children’s Perticipant entry.			1
175	Stand! Against Domestic Violence Children's	2		0000-00-00	0000-00-00	Northern CA	4	2	RMC is Shelter	12/15/2004:Sent Eval		1
176	Bienvenidos Family Services - Respite Children's	2		0000-00-00	0000-00-00	LA City	2	2		12/15/2004:Sent Eval	P0264	1
177	1736 Family Crisis Center 2nd Step South Bay Children's	2	10	0000-00-00	0000-00-00	LA City	2	3	this is a Women’s teen program. She uses Women’s forms but Ramona was trained as a children’s leader and teens are technically children’s program - so her reports and numbers get counted as such.	6/4/2004:go through folder & find other reports.   |  Inactive since 8-01.		1
178	Jewish Family Service (JFS) - Hope Cottage Women's	1		0000-00-00	0000-00-00	LA County	1	1		12/15/2004:Sent Eval	P0268	0
179	Catholic Charities New Hope Partners Women's	1	NY	0000-00-00	0000-00-00	Outside CA	1	1	Cindy Manne, Supervisor		P0269	0
180	Tahoe Safe Alliance Women's	1		0000-00-00	0000-00-00	Outside CA	1	1	Attending T121		P0270	0
181	St. Anne's Women's	1		0000-00-00	0000-00-00	LA City	3	1			P0271	0
182	Salt Lake City Sheriff's Office Women's	1	UT	0000-00-00	0000-00-00	Outside CA	1	3			P0272	1
183	South Asian Network Women's	1	Los Angeles Coun	0000-00-00	0000-00-00	LA County	1	1			P0273	0
184	Portals Mariposa Clubhouse Women's	1		0000-00-00	0000-00-00	LA City	5	1	3/4  |  3/4			1
185	Marjaree Mason Center Women's	1		0000-00-00	0000-00-00	Central California	1	1		4/6/2005: Cathy reached Corinna.  She's using the art projects within the parenting groups each week & says the women are loving it.  Will send in reports for March.  (Didn't realize she could count these - since it wasn't a separate “windows” group - I told her it's fine to incorporate & count it).	P0275	0
186	Family Services Tulare County Women's	1		0000-00-00	0000-00-00	Central California	1	1		4/6/2005:  Cathy reached Maria.  She hasn't started because doesn't have any Spanish-speaking clients right now.  Pat has started & there will be another English workshop this week.  When everything's up & running there will be 2 weekly workshops (one in each language).  Maria will probably start with the watercolors - something simple & fun.  Cathy said to call if they need anything.	P0277	0
187	Central California Family Crisis Center Women's	1		0000-00-00	0000-00-00	Central California	1	0			P0278	0
188	Haven Women's Center Women's	1		0000-00-00	0000-00-00	Central California	2	1		4/6/2005: Cathy left message checking in re March (she's not late.  I just wanted to see how her first month went & if there's any way I can help)	P0279	0
189	Mountain Crisis Services Women's	1	Mariposa	0000-00-00	0000-00-00	Central California	1	2		4/6/2005: Cathy left message to see how her first month went & if there's any way I can help.  (Program plans to start in April)	P0280	0
190	Kings Community Action Center (B. Saville) Women's	1		0000-00-00	0000-00-00	Central California	2	1		4/6/2005: Cathy left encouraging message thanking for first month's reports.  Answered question re wkshop titles.	P0281	1
191	Community Action Partnership of Madera County (CAP of MC) Women's	1	CA	0000-00-00	0000-00-00	Central California	4	1			P0282	0
192	Center for Battered Women Children's	2	WA	0000-00-00	0000-00-00	Outside CA	3	3			P0283	0
194	Laurel House Battered Women's and Children's Shelter Children's	2	PA	0000-00-00	0000-00-00	Outside California	1	1			P0292	0
195	A Window Between Worlds	1		0000-00-00	0000-00-00		2	0	DELETE			1
196	Family Advocates, Inc. Children's	2	WI	0000-00-00	0000-00-00	Outside California	1	1	6/1/2005 Grant Funded		P0290	0
197	Equinox Inc. Women's	1	Rochester, New Y	0000-00-00	0000-00-00	Outside California	3	3			P0300	0
198	TESSA Children's	2	CO	0000-00-00	0000-00-00	Outside CA	1	1	10/05-Leah runs kids/family groups 4nights/wk		P0216	0
199	Sitkans Against Family Violence (SAFV) Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0309	0
200	CPAF - Center for the Pacific Asian Family Transitional Women's	1	LA City	0000-00-00	0000-00-00	1?	1	1			P0319	1
201	Haven Women's Center Children's	2		0000-00-00	0000-00-00	Central California	1	1			P0289	0
202	Asian Women Shelter (AWS) Women's	1		0000-00-00	0000-00-00	Northern CA	1	1	Nicole attending T112		P0293	0
203	Casa de Esperanza Women's	1		0000-00-00	0000-00-00	Northern CA	1	1			P0324	0
204	Chinatown Service Center Women's	1		0000-00-00	0000-00-00	LA County	2	2			P0325	1
205	Lennox School District	1		0000-00-00	0000-00-00	Southern CA	1	3			P0331	1
206	Rainbow Services Women's	1	15	0000-00-00	0000-00-00	LA County	1	1	Mario attending T112		P0330	0
207	Rainbow Services Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0307	0
208	Safe Haven Women's	1	WI	0000-00-00	0000-00-00	Outside CA	4	1			P0295	0
209	Women's Care Cottage Women's	1		0000-00-00	0000-00-00	LA County	0	1			P0298	1
210	Women's Center High Desert Women's	1	CA	0000-00-00	0000-00-00	Northern CA	1	1			P0327	0
211	Catholic Charities New Hope Partners Children's	2	NY	0000-00-00	0000-00-00	Outside CA	1	1			P0311	0
212	Lydia Place Children's	2	WA	0000-00-00	0000-00-00	Outside LA	1	1			P0288	0
213	Willow Center NY Women's	1	NY	0000-00-00	0000-00-00	Outside CA	1	3		Changed name from: Alternatives for Battered Women	09530	0
214	Willow Center NY Children's	2	NY	0000-00-00	0000-00-00	Outside CA	1	1		Changed name from: Alternatives for Battered Women	P0329	0
215	Asian Women Shelter (AWS) Children's	2		0000-00-00	0000-00-00	Northern CA	1	1			P0306	0
216	Child Abuse Prevention Center Children's	2		0000-00-00	0000-00-00	Southern CA	2	2			P0286	1
217	Christians Addressing Family Abuse Children's	2	OR	0000-00-00	0000-00-00	Outside CA	1	2		Attending TWC111	P0313	0
218	Domestic Violence Center of Santa Clarita Valley Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0287	0
219	My Sisters House Children's	2	NC	0000-00-00	0000-00-00	Outside CA	2	4			P0305	1
220	P.A.V.E. and Men Challenging Violence Women's	1	IL	0000-00-00	0000-00-00	Outside CA	4	1			P0294	1
221	Restore Women's	1		0000-00-00	0000-00-00	LA County	5	1			PO296	1
222	SAFV - Sitkans Against Family Violence Women's	1	AK	0000-00-00	0000-00-00	Outside CA	3	1			P0333	1
223	Snohomish County for Battered Women Women's	1	WA	0000-00-00	0000-00-00	Outside CA	3	3			P0316	1
224	Jewish Family Service (JFS) - Tamar House Children's	2		0000-00-00	0000-00-00	LA County	3	1			P0334	0
225	SPIRITT Family Services Women's	1		0000-00-00	0000-00-00	LA County	1	1			P0744	0
226	United Methodist Youthville Children's	2	KS	0000-00-00	0000-00-00	Outside CA	3	1			P0317	0
227	Westside Regional Center - The Lotus Project Women's	1		0000-00-00	0000-00-00	LA City	1	1			P0310	1
228	WomenShelter of Long Beach (WSLB) - Youth Services Children's	2		0000-00-00	0000-00-00	LA County	1	3			P0285	0
229	Alaska Family Services (AFS) Women's	1	AK	0000-00-00	0000-00-00	Outside CA	5	1			P0403	0
230	A Window Between Worlds - Outreach Women's	1		0000-00-00	0000-00-00	LA City	1	0			P0320	0
231	A Window Between Worlds - Outreach Children's	2		0000-00-00	0000-00-00	LA City	1	0			P0321	0
232	A Woman's Voice Women's	1		0000-00-00	0000-00-00	LA City	4	1			P0299	1
367	Haven Hills - Outreach Women's	1	3	0000-00-00	0000-00-00	LA City	1	1	Emily attending T112		P0525	0
233	Delete	1		0000-00-00	0000-00-00	Southern CA	1	1				1
234	YWCA of Kauai - Family Violence Shelter Children's	2	HI	0000-00-00	0000-00-00	Outside CA	1	1			P0336	0
235	Women Helping Women Children's	2	HI	0000-00-00	0000-00-00	Outside CA	1	1			P0339	1
236	Women Helping Women Women's	1	HI	0000-00-00	0000-00-00	Outside CA	1	1			P0340	1
237	The Next Step Children's	2	ME	0000-00-00	0000-00-00	Outside CA	2	0	DIstance Training		P0347	1
238	LifeWire Children's	2	WA	0000-00-00	0000-00-00	Outside CA	1	0	6/19/2012:Formerly Eastside Domestic Violence Program\
Distance Leaning		P0348	0
239	Cordova Family Resource Center Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	1			P0349	0
240	Casa Libre Supportive Housing Program - SHP Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0355	0
241	Central California Family Crisis Center Children's	2		0000-00-00	0000-00-00	Central California	1	1			P0356	0
242	United American Indian Involvement (UAII) Children's	2		0000-00-00	0000-00-00	LA County	1	1			P0351	0
243	Hale Kipa - Hawaii Advocate Program Children's	2	HI	0000-00-00	0000-00-00	Outside CA	2	3			P0343	1
244	YWCA of Kauai - Outreach Children's	2	HI	0000-00-00	0000-00-00	Outside CA	1	1	Programs with Teens		P0344	0
245	Hale Kipa - Hawaii Advocate Program Women's	1	HI	0000-00-00	0000-00-00	Outside CA	2	3				1
308	USMC Family Advocacy Program Women's	1		0000-00-00	0000-00-00	Southern CA	1	3			P0452	0
247	Aiding Women in Abuse and Rape Emergencies, Inc. (AWARE) Children's	2	AK	0000-00-00	0000-00-00	Outside CA	1	3		7/06 Reported for 3 months - has been given permissions	P0357	0
248	Center for Abuse and Rape Emergencies Children's	2	FL	0000-00-00	0000-00-00	Outside CA	1	1	Distance Training \
A Small poor program recovering from Hurricane Charley wants to start the women and children's program. We gave her a children's distance training 3/4s and will most likely give her a full one for the women's before November when they have space for it.		P0364	0
411	Sexual Assault/Domestic Violence Center Children's	2	KS	0000-00-00	0000-00-00	Outside CA	1	0		Attended NCADV 08	P0594	0
249	Life Center for Growth and Healing, P.C	1	NJ	0000-00-00	0000-00-00	Outside CA	1	3	Distance Learning - paid		P0401	0
